resId,title,locationShort,resDetail,priceRange,latLong,phone,email,lineId,mon,tue,wed,thu,fri,sat,sun
10330001,เหลาอาธีร์,สวนหลวงสแควร์,,4,"13.743513866953542, 100.52425775268189",,,,10-20.30,10-20.30,10-20.30,10-20.30,10-20.30,10-20.30,10-20.30
10330002,ศรีขมิ้น,สวนหลวงสแควร์,,4,"13.743582123556804, 100.52452582754042",,,,11-21,11-21,11-21,11-21,11-21,11-21,11-21
10330003,ถั่งยี่,สวนหลวงสแควร์,,4,"13.743729953380868, 100.52478429685824",,,,,,,,,,
10330004,เย็นตาโฟยกล้อ,สวนหลวงสแควร์,,3,"13.743373243313135, 100.5243423411266",,,,,,,,,,
10330005,ก.ไก่,บรรทัดทอง,,3,"13.741207134527667, 100.52247576986984",,,,11-23,11-23,11-23,11-23,11-23,11-23,
10330006,Ginger Bowl,บรรทัดทอง,,4,"13.74371317184094, 100.52314263918777",,,,"11.30-14.30, 15.30-21","11.30-14.30, 15.30-21","11.30-14.30, 15.30-21","11.30-14.30, 15.30-21","11.30-14.30, 15.30-21","11.30-14.30, 15.30-21","11.30-14.30, 15.30-21"
10330007,กิมโป้,บรรทัดทอง,,4,"13.743584501890533, 100.52314308151723",,,,15.30-22.30,15.30-22.30,15.30-22.30,15.30-22.30,15.30-22.30,15.30-22.30,15.30-22.30
